,ADDRESS,BKCLASS,CBSA,CBSA_DIV,CBSA_DIV_FLG,CBSA_DIV_NO,CBSA_METRO,CBSA_METRO_FLG,CBSA_METRO_NAME,CBSA_MICRO_FLG,CBSA_NO,CERT,CITY,COUNTY,CSA,CSA_FLG,CSA_NO,ESTYMD,FI_UNINUM,MAINOFF,NAME,OFFNAME,OFFNUM,RUNDATE,SERVTYPE,STALP,STCNTY,STNAME,UNINUM,ZIP,formatted_address,tract,Sub Boro Name,Tract
36483,74-25 Grand Avenue,SI,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,16026,Elmhurst,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,01/20/1998,10255,0,Ridgewood Savings Bank,GRAND AVENUE BRANCH,15,11/25/2022,11,NY,36081,New York,236825,11373,"74-25 Grand Avenue, Elmhurst, NY, 11373","('049900', 'Queens')",Elmhurst / Corona,49900
36489,43-73 Kissena Boulevard,SI,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,16068,Flushing,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,06/23/1971,10290,0,Apple Bank for Savings,FLUSHING BRANCH,39,11/25/2022,11,NY,36081,New York,237099,11355,"43-73 Kissena Boulevard, Flushing, NY, 11355","('085900', 'Queens')",Flushing / Whitestone,85900
36491,6701-03 18th Avenue,SI,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,16068,Brooklyn,Kings,"New York-Newark, NY-NJ-CT-PA",1,408.0,08/09/1997,10290,0,Apple Bank for Savings,18TH AVENUE BRANCH,50,11/25/2022,11,NY,36047,New York,237145,11204,"6701-03 18th Avenue, Brooklyn, NY, 11204","('026000', 'Brooklyn')",Bensonhurst,26000
36752,890 West Lacey Boulevard,SM,"Hanford-Corcoran, CA",,0,,25260,1,"Hanford-Corcoran, CA",0,25260,3430,Hanford,Kings,"Fresno-Madera-Hanford, CA",1,260.0,11/21/1988,2226,0,Westamerica Bank,HANFORD BRANCH,219,11/25/2022,11,CA,6031,California,254320,93230,"890 West Lacey Boulevard, Hanford, NY, 93230","('-1', '-1')",UNFOUND,-1
36977,157 East 125th Street,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,3510,New York,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,11/07/1927,2238,0,"Bank of America, National Association",HARLEM EAST BRANCH,8163,11/25/2022,11,NY,36061,New York,229537,10035,"157 East 125th Street, New York, NY, 10035","('019600', 'Manhattan')",East Harlem,19600
37089,31-42 Steinway Street,SI,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,16022,Astoria,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,10/01/1973,10251,0,New York Community Bank,ASTORIA BRANCH,7,11/25/2022,11,NY,36081,New York,235820,11103,"31-42 Steinway Street, Astoria, NY, 11103","('015500', 'Queens')",Astoria,15500
37091,539 Eastern Parkway,SM,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,34967,New York City,Kings,"New York-Newark, NY-NJ-CT-PA",1,408.0,01/02/1969,62141,0,Popular Bank,E PARKWAY/NOSTRAND BRANCH,75,11/25/2022,11,NY,36047,New York,235962,11216,"539 Eastern Parkway, New York City, NY, 11216","('031702', 'Brooklyn')",North Crown Heights / Prospect Heights,31702
37103,4025 Amboy Road,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,29950,Staten Island,Richmond,"New York-Newark, NY-NJ-CT-PA",1,408.0,12/11/1983,42784,0,"Santander Bank, N.A.",RICHMOND BRANCH,1071,11/25/2022,11,NY,36085,New York,236387,10308,"4025 Amboy Road, Staten Island, NY, 10308","('014604', 'Staten Island')",South Shore,14604
37110,1101 Avenue J,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,628,Brooklyn,Kings,"New York-Newark, NY-NJ-CT-PA",1,408.0,10/08/1932,417,0,"JPMorgan Chase Bank, National Association",FLATBUSH BRANCH,5235,11/25/2022,11,NY,36047,New York,236590,11230,"1101 Avenue J, Brooklyn, NY, 11230","('053000', 'Brooklyn')",Flatbush,53000
37113,7807 Fifth Avenue,SM,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,588,Brooklyn,Kings,"New York-Newark, NY-NJ-CT-PA",1,408.0,10/01/1986,400,0,Manufacturers and Traders Trust Company,BAY RIDGE BRANCH,249,11/25/2022,11,NY,36047,New York,236709,11209,"7807 Fifth Avenue, Brooklyn, NY, 11209","('013600', 'Brooklyn')",Bay Ridge,13600
37114,1416 East Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,29950,Bronx,Bronx,"New York-Newark, NY-NJ-CT-PA",1,408.0,09/23/1972,42784,0,"Santander Bank, N.A.",PARKCHESTER BRANCH,992,11/25/2022,11,NY,36005,New York,236748,10462,"1416 East Avenue, Bronx, NY, 10462","('021200', 'Bronx')",Soundview / Parkchester,21200
37116,107-19 Continental Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,57957,Forest Hills,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,03/24/1975,432614,0,"Citizens Bank, National Association",FOREST HILLS BRANCH,1753,11/25/2022,11,NY,36081,New York,236767,11375,"107-19 Continental Avenue, Forest Hills, NY, 11375","('-1', '-1')",UNFOUND,-1
37117,61-24 188th Street,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,4297,Flushing,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,03/12/1949,2818,0,"Capital One, National Association",FRESH MEADOWS BRANCH,627,11/25/2022,11,NY,36081,New York,236787,11365,"61-24 188th Street, Flushing, NY, 11365","('134700', 'Queens')",Hillcrest / Fresh Meadows,134700
37118,230-22 Merrick Boulevard,SI,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,16026,Laurelton,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,10/01/1948,10255,0,Ridgewood Savings Bank,LAURELTON BRANCH,3,11/25/2022,11,NY,36081,New York,236816,11413,"230-22 Merrick Boulevard, Laurelton, NY, 11413","('063200', 'Queens')",Bellerose / Rosedale,63200
37141,2455 Highway 88,NM,"Augusta-Richmond County, GA-SC",,0,,12260,1,"Augusta-Richmond County, GA-SC",0,12260,16288,Hephzibah,Richmond,,0,,11/18/1996,10476,0,Southern Bank,HEPHZIBAH BRANCH,2,11/25/2022,11,GA,13245,Georgia,237841,30815,"2455 Highway 88, Hephzibah, NY, 30815","('010904', 'Hephzibah')",UNFOUND,10904
37173,4043 Broadway,SM,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,34967,New York,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,08/15/1966,62141,0,Popular Bank,170TH STREET BRANCH,64,11/25/2022,11,NY,36061,New York,239409,10032,"4043 Broadway, New York, NY, 10032","('025300', 'Manhattan')",Washington Heights / Inwood,25300
37340,3002 Mermaid Ave,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,7213,Brooklyn,Kings,"New York-Newark, NY-NJ-CT-PA",1,408.0,05/13/1998,4759,0,"Citibank, National Association",CONEY ISLAND,889,11/25/2022,11,NY,36047,New York,249816,11224,"3002 Mermaid Ave, Brooklyn, NY, 11224","('034200', 'Brooklyn')",Coney Island,34200
37349,5775 Amboy Road,SB,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,28710,Staten Island,Richmond,"New York-Newark, NY-NJ-CT-PA",1,408.0,01/01/1971,41544,0,Northfield Bank,PRINCE'S BAY,6,11/25/2022,11,NY,36085,New York,250728,10309,"5775 Amboy Road, Staten Island, NY, 10309","('020804', 'Staten Island')",South Shore,20804
37454,136-88 39th Avenue,NM,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,24920,New York City,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,06/28/1985,17274,0,Woori America Bank,FLUSHING BRANCH,1,11/25/2022,11,NY,36081,New York,257732,11354,"136-88 39th Avenue, New York City, NY, 11354","('087100', 'Queens')",Flushing / Whitestone,87100
37484,235 5th Ave,NM,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,18503,New York,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,07/18/1998,12395,0,Cathay Bank,MIDTOWN BRANCH,63,11/25/2022,11,NY,36061,New York,259889,10016,"235 5th Ave, New York, NY, 10016","('005600', 'Manhattan')",Chelsea / Clinton / Midtown,5600
37643,10619 Continental Avenue,SI,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,16022,Forest Hills,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,01/01/1899,10251,0,New York Community Bank,FOREST HILLS CONTINENTAL AVE BRANCH,16,11/25/2022,11,NY,36081,New York,269508,11375,"10619 Continental Avenue, Forest Hills, NY, 11375","('-1', '-1')",UNFOUND,-1
